variant,isin,base,nrd_z,our_z,delta,duration,margin_bps,rating,z_minus_g
V7d  ytm−G G(nrd_dur),RU000A106J38,KEYRATE,88,489,401,0.019178,250,A,
V7d  ytm−G G(nrd_dur),RU000A106TM6,KEYRATE,372,304,-68,0.079452,0,AAA,
V7d  ytm−G G(nrd_dur),RU000A106ZU6,KEYRATE,418,428,10,0.249315,120,AAA,
V7d  ytm−G G(nrd_dur),RU000A1075S4,KEYRATE,318,303,-15,0.079452,110,AAA,
V7d  ytm−G G(nrd_dur),RU000A1077V4,KEYRATE,346,445,99,0.249315,200,AA,
V7d  ytm−G G(nrd_dur),RU000A107AG6,KEYRATE,455,426,-29,0.082192,90,AA,
V7d  ytm−G G(nrd_dur),RU000A107B35,KEYRATE,362,244,-118,0.079452,0,AAA,
V7d  ytm−G G(nrd_dur),RU000A107DP1,KEYRATE,377,355,-22,0.084932,115,AAA,
V7d  ytm−G G(nrd_dur),RU000A107EC7,KEYRATE,434,392,-42,0.079452,115,AAA,
V7d  ytm−G G(nrd_dur),RU000A107F49,KEYRATE,449,410,-39,0.084932,0,AA,
V7d  ytm−G G(nrd_dur),RU000A107HR8,KEYRATE,412,384,-28,0.249315,250,AA,
V7d  ytm−G G(nrd_dur),RU000A107R29,KEYRATE,580,693,113,2.057041,400,BB,
V7d  ytm−G G(nrd_dur),RU000A107SG8,KEYRATE,16988,553,-16435,0.08925,300,BBB,
V7d  ytm−G G(nrd_dur),RU000A107TT9,KEYRATE,783,531,-252,0.249315,230,AA,
V7d  ytm−G G(nrd_dur),RU000A107W55,KEYRATE,331,219,-112,0.079452,2,AAA,
V7d  ytm−G G(nrd_dur),RU000A107WL0,KEYRATE,286,354,68,0.189041,110,AAA,
V7d  ytm−G G(nrd_dur),RU000A1083A6,KEYRATE,366,387,21,0.082192,130,AAA,
V7d  ytm−G G(nrd_dur),RU000A108462,KEYRATE,1371,1523,152,0.657237,600,BB,
V7d  ytm−G G(nrd_dur),RU000A108A19,KEYRATE,107,2389,2282,0.705088,300,BB,
V7d  ytm−G G(nrd_dur),RU000A108DE3,KEYRATE,813,624,-189,0.249315,215,AA,
V7d  ytm−G G(nrd_dur),RU000A108JV4,KEYRATE,440,429,-11,0.084932,125,AAA,
V7d  ytm−G G(nrd_dur),RU000A108LN7,KEYRATE,1431,1567,136,0.828246,425,BBB,
V7d  ytm−G G(nrd_dur),RU000A108P61,KEYRATE,450,378,-72,0.076712,115,AAA,
V7d  ytm−G G(nrd_dur),RU000A108RP9,KEYRATE,458,425,-33,0.249315,220,AA,
V7d  ytm−G G(nrd_dur),RU000A108VL0,KEYRATE,453,425,-28,0.079452,50,AA,
V7d  ytm−G G(nrd_dur),RU000A1090K0,KEYRATE,256,213,-43,0.032877,100,AA,
V7d  ytm−G G(nrd_dur),RU000A109221,KEYRATE,2443,2545,102,0.936189,400,BBB,
V7d  ytm−G G(nrd_dur),RU000A109312,KEYRATE,421,415,-6,0.249315,130,AAA,
V7d  ytm−G G(nrd_dur),RU000A109825,KEYRATE,645,246,-399,0.089384,200,A,
V7d  ytm−G G(nrd_dur),RU000A109981,KEYRATE,880,1003,123,1.051582,300,A,
V7d  ytm−G G(nrd_dur),RU000A1099A2,KEYRATE,465,427,-38,0.076712,140,AA,
V7d  ytm−G G(nrd_dur),RU000A1099E4,KEYRATE,342,429,87,1.00544,140,AA,
V7d  ytm−G G(nrd_dur),RU000A109DT9,KEYRATE,530,499,-31,0.084932,170,AA,
V7d  ytm−G G(nrd_dur),RU000A109JX8,KEYRATE,1055,1183,128,1.048555,425,BBB,
V7d  ytm−G G(nrd_dur),RU000A109K40,KEYRATE,322,287,-35,0.084932,110,AAA,
V7d  ytm−G G(nrd_dur),RU000A109KL1,KEYRATE,306,179,-127,0.082192,0,AAA,
V7d  ytm−G G(nrd_dur),RU000A109KV0,KEYRATE,514,569,55,0.191327,275,A,
V7d  ytm−G G(nrd_dur),RU000A109KW8,KEYRATE,425,395,-30,0.079452,120,AAA,
V7d  ytm−G G(nrd_dur),RU000A109KY4,KEYRATE,471,442,-29,0.249315,230,AA,
V7d  ytm−G G(nrd_dur),RU000A109LC8,KEYRATE,1138,1054,-84,0.087671,300,A,
V7d  ytm−G G(nrd_dur),RU000A109S91,KEYRATE,361,317,-44,0.084932,114,AAA,
V7d  ytm−G G(nrd_dur),RU000A109SP5,KEYRATE,1865,1826,-39,0.082192,300,BBB,
V7d  ytm−G G(nrd_dur),RU000A109TJ6,KEYRATE,452,424,-28,0.084932,150,AAA,
V7d  ytm−G G(nrd_dur),RU000A109U97,KEYRATE,327,281,-46,0.082192,125,AAA,
V7d  ytm−G G(nrd_dur),RU000A10A349,KEYRATE,321,270,-51,0.082192,200,AAA,
V7d  ytm−G G(nrd_dur),RU000A10A398,KEYRATE,486,542,56,0.335666,450,A,
V7d  ytm−G G(nrd_dur),RU000A10A4S7,KEYRATE,275,446,171,0.082192,200,AAA,
V7d  ytm−G G(nrd_dur),RU000A10AAU6,KEYRATE,-30,47,77,0.437535,500,A,
V7d  ytm−G G(nrd_dur),RU000A10AEG7,KEYRATE,463,888,425,0.42467,600,A,
V7d  ytm−G G(nrd_dur),RU000A10AHD7,KEYRATE,1275,990,-285,0.079452,675,BBB,
V7d  ytm−G G(nrd_dur),RU000A10ASD4,KEYRATE,945,916,-29,0.076712,600,A,
V7d  ytm−G G(nrd_dur),RU000A10B4T4,KEYRATE,2373,2184,-189,0.084932,650,B,
V7d  ytm−G G(nrd_dur),RU000A10BBD8,KEYRATE,491,478,-13,0.079452,425,A,
V7d  ytm−G G(nrd_dur),RU000A10BQF1,KEYRATE,461,471,10,0.082192,400,A,
V7d  ytm−G G(nrd_dur),RU000A10BQX4,KEYRATE,335,323,-12,0.087671,190,AA,
V7d  ytm−G G(nrd_dur),RU000A10BRR4,KEYRATE,415,398,-17,0.076712,185,AAA,
V7d  ytm−G G(nrd_dur),RU000A10BZQ9,KEYRATE,515,661,146,0.087671,350,A,
V7d  ytm−G G(nrd_dur),RU000A10C329,KEYRATE,414,535,121,0.927028,280,A,
V7d  ytm−G G(nrd_dur),RU000A10C3P3,KEYRATE,2023,2167,144,1.628725,500,BBB,
V7d  ytm−G G(nrd_dur),RU000A10C5U8,KEYRATE,694,424,-270,0.076712,325,A,
V7d  ytm−G G(nrd_dur),RU000A10CN62,KEYRATE,901,988,87,0.611106,600,BBB,
V7d  ytm−G G(nrd_dur),RU000A10D1W2,KEYRATE,457,437,-20,0.082192,115,AAA,
V7d  ytm−G G(nrd_dur),RU000A10D2Q2,KEYRATE,441,413,-28,0.082192,140,AAA,
V7d  ytm−G G(nrd_dur),RU000A10D459,KEYRATE,384,362,-22,0.082192,165,AAA,
V7d  ytm−G G(nrd_dur),RU000A10DC15,KEYRATE,673,648,-25,0.076712,350,A,
V7d  ytm−G G(nrd_dur),RU000A10DFN4,KEYRATE,373,407,34,0.082192,175,AAA,
V7d  ytm−G G(nrd_dur),RU000A10DLE1,KEYRATE,375,406,31,0.084932,150,AAA,
V7d  ytm−G G(nrd_dur),RU000A10DRF5,KEYRATE,404,421,17,0.082192,160,AAA,
V7d  ytm−G G(nrd_dur),RU000A10E6Q2,KEYRATE,410,220,-190,0.079452,130,AAA,
V7d  ytm−G G(nrd_dur),RU000A10E8N5,KEYRATE,411,441,30,0.076712,175,AAA,
V7d  ytm−G G(nrd_dur),RU000A10ECM1,KEYRATE,411,409,-2,0.084932,150,AAA,
V7d  ytm−G G(nrd_dur),RU000A10EF11,KEYRATE,416,534,118,1.43416,220,A,
V7d  ytm−G G(nrd_dur),RU000A10EG28,KEYRATE,220,332,112,2.14552,195,AA,
V7d  ytm−G G(nrd_dur),RU000A10ELF6,KEYRATE,465,275,-190,0.087671,165,AAA,
V7d  ytm−G G(nrd_dur),RU000A10ERV0,KEYRATE,412,413,1,0.082192,140,AA,
V7d  ytm−G G(nrd_dur),RU000A10ES57,KEYRATE,372,407,35,0.082192,150,AAA,
V7d  ytm−G G(nrd_dur),RU000A10F8N4,KEYRATE,386,127,-259,0.082192,150,AAA,
V7d  ytm−G G(nrd_dur),RU000A10FA64,KEYRATE,532,570,38,0.087671,280,A,
V7d  ytm−G G(nrd_dur),RU000A10FAN0,KEYRATE,372,417,45,0.084932,135,AAA,
V7d  ytm−G G(nrd_dur),RU000A10FBH0,KEYRATE,99,256,157,0.076712,100,AAA,
V7r  ytm−G RUONIA (контроль),RU000A107S10,RUONIA,281,316,35,0.084932,130,AA,
V7r  ytm−G RUONIA (контроль),RU000A109PF2,RUONIA,226,413,187,0.090411,130,AAA,
V7r  ytm−G RUONIA (контроль),RU000A10D1H3,RUONIA,175,379,204,0.084932,150,AAA,
